event_id,session_id,order_id,timestamp,customer_id,customer_segment,product_id,category,event_type,device,channel,price_shown,quantity,total_amount,payment_method
65,S65,,2024-01-10 09:16:00,C103733,New,P1055,Sports & Outdoors,view,mobile,Marketplace-B,733.42,,,
66,S66,,2024-01-10 13:22:00,C100116,New,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
67,S67,,2024-01-10 19:36:00,C100105,VIP,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
68,S68,,2024-01-10 20:38:00,C103338,Returning,P1060,Travel & Hospitality,view,tablet,Mobile App,287.2,,,
69,S69,,2024-01-10 21:18:00,C101061,New,P1005,Electronics,view,desktop,Retail Store,463.36,,,
70,S69,,2024-01-10 21:21:00,C101061,New,P1005,Electronics,add_to_cart,tablet,Retail Store,463.36,,,
71,S71,,2024-01-10 20:17:00,C103381,Loyal,P1068,Travel & Hospitality,view,mobile,Marketplace-A,75.08,,,
72,S72,,2024-01-10 01:03:00,C102335,New,P1011,Fashion,view,desktop,Website,272.73,,,
73,S72,,2024-01-10 01:06:00,C102335,New,P1011,Fashion,add_to_cart,mobile,Website,272.73,,,
74,S74,,2024-01-10 15:46:00,C101006,Returning,P1060,Travel & Hospitality,view,tablet,Mobile App,287.2,,,
75,S74,,2024-01-10 15:49:00,C101006,Returning,P1060,Travel & Hospitality,add_to_cart,mobile,Mobile App,287.2,,,
76,S76,,2024-01-10 01:32:00,C100942,Returning,P1005,Electronics,view,desktop,Retail Store,463.36,,,
77,S77,,2024-01-10 05:53:00,C100339,New,P1011,Fashion,view,mobile,Website,272.73,,,
78,S78,,2024-01-10 19:24:00,C100829,New,P1011,Fashion,view,desktop,Website,272.73,,,
79,S79,,2024-01-10 11:40:00,C102913,Returning,P1068,Travel & Hospitality,view,mobile,Marketplace-A,75.08,,,
80,S79,,2024-01-10 11:43:00,C102913,Returning,P1068,Travel & Hospitality,add_to_cart,mobile,Marketplace-A,75.08,,,
81,S79,O79,2024-01-10 11:46:00,C102913,Returning,P1068,Travel & Hospitality,purchase,mobile,Marketplace-A,75.08,1.0,75.08,Wallet
82,S82,,2024-01-10 19:09:00,C103414,New,P1005,Electronics,view,tablet,Retail Store,463.36,,,
83,S82,,2024-01-10 19:12:00,C103414,New,P1005,Electronics,add_to_cart,desktop,Retail Store,463.36,,,
84,S82,O82,2024-01-10 19:15:00,C103414,New,P1005,Electronics,purchase,tablet,Retail Store,463.36,3.0,1390.08,Net Banking
85,S85,,2024-01-10 00:19:00,C102017,Returning,P1060,Travel & Hospitality,view,desktop,Mobile App,287.2,,,
86,S86,,2024-01-10 12:37:00,C103870,Loyal,P1055,Sports & Outdoors,view,tablet,Marketplace-B,733.42,,,
87,S86,,2024-01-10 12:40:00,C103870,Loyal,P1055,Sports & Outdoors,add_to_cart,tablet,Marketplace-B,733.42,,,
88,S86,O86,2024-01-10 12:43:00,C103870,Loyal,P1055,Sports & Outdoors,purchase,tablet,Marketplace-B,733.42,1.0,733.42,UPI
89,S89,,2024-01-10 09:11:00,C102159,Returning,P1005,Electronics,view,mobile,Retail Store,463.36,,,
90,S90,,2024-01-10 05:03:00,C100390,New,P1068,Travel & Hospitality,view,tablet,Marketplace-A,75.08,,,
91,S91,,2024-01-10 16:15:00,C100889,VIP,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
92,S91,,2024-01-10 16:18:00,C100889,VIP,P1060,Travel & Hospitality,add_to_cart,mobile,Mobile App,287.2,,,
93,S91,O91,2024-01-10 16:21:00,C100889,VIP,P1060,Travel & Hospitality,purchase,mobile,Mobile App,287.2,1.0,287.2,UPI
94,S94,,2024-01-10 06:49:00,C102825,Returning,P1060,Travel & Hospitality,view,tablet,Mobile App,287.2,,,
95,S95,,2024-01-10 09:04:00,C103407,Returning,P1068,Travel & Hospitality,view,desktop,Marketplace-A,75.08,,,
96,S96,,2024-01-10 21:08:00,C101517,New,P1055,Sports & Outdoors,view,desktop,Marketplace-B,733.42,,,
97,S96,,2024-01-10 21:11:00,C101517,New,P1055,Sports & Outdoors,add_to_cart,tablet,Marketplace-B,733.42,,,
98,S96,O96,2024-01-10 21:14:00,C101517,New,P1055,Sports & Outdoors,purchase,mobile,Marketplace-B,733.42,1.0,733.42,COD
99,S99,,2024-01-10 18:22:00,C100750,New,P1011,Fashion,view,tablet,Website,272.73,,,
100,S99,,2024-01-10 18:25:00,C100750,New,P1011,Fashion,add_to_cart,mobile,Website,272.73,,,
101,S99,O99,2024-01-10 18:28:00,C100750,New,P1011,Fashion,purchase,tablet,Website,272.73,1.0,272.73,Wallet
102,S102,,2024-01-10 08:32:00,C103605,New,P1068,Travel & Hospitality,view,mobile,Marketplace-A,75.08,,,
103,S102,,2024-01-10 08:35:00,C103605,New,P1068,Travel & Hospitality,add_to_cart,mobile,Marketplace-A,75.08,,,
104,S104,,2024-01-10 05:53:00,C100627,New,P1005,Electronics,view,desktop,Retail Store,463.36,,,
105,S104,,2024-01-10 05:56:00,C100627,New,P1005,Electronics,add_to_cart,mobile,Retail Store,463.36,,,
106,S106,,2024-01-10 19:41:00,C102900,Returning,P1011,Fashion,view,tablet,Website,272.73,,,
107,S107,,2024-01-13 16:21:00,C103100,Loyal,P1068,Travel & Hospitality,view,desktop,Retail Store,75.08,,,
108,S107,,2024-01-13 16:24:00,C103100,Loyal,P1068,Travel & Hospitality,add_to_cart,tablet,Retail Store,75.08,,,
109,S107,O107,2024-01-13 16:27:00,C103100,Loyal,P1068,Travel & Hospitality,purchase,desktop,Retail Store,75.08,2.0,150.16,COD
110,S110,,2024-01-13 21:28:00,C103588,Loyal,P1068,Travel & Hospitality,view,mobile,Retail Store,75.08,,,
111,S110,,2024-01-13 21:31:00,C103588,Loyal,P1068,Travel & Hospitality,add_to_cart,desktop,Retail Store,75.08,,,
112,S112,,2024-01-13 04:07:00,C101364,Returning,P1022,Home & Kitchen,view,desktop,Website,758.2,,,
113,S113,,2024-01-13 01:04:00,C101604,Returning,P1011,Fashion,view,desktop,Website,272.73,,,
114,S113,,2024-01-13 01:07:00,C101604,Returning,P1011,Fashion,add_to_cart,tablet,Website,272.73,,,
115,S115,,2024-01-13 12:33:00,C102682,New,P1005,Electronics,view,tablet,Mobile App,473.09,,,
116,S116,,2024-01-13 00:01:00,C100504,New,P1060,Travel & Hospitality,view,tablet,Marketplace-A,287.2,,,
117,S116,,2024-01-13 00:04:00,C100504,New,P1060,Travel & Hospitality,add_to_cart,desktop,Marketplace-A,287.2,,,
118,S116,O116,2024-01-13 00:07:00,C100504,New,P1060,Travel & Hospitality,purchase,mobile,Marketplace-A,287.2,3.0,861.6,Debit Card
119,S119,,2024-01-13 17:00:00,C103300,New,P1055,Sports & Outdoors,view,desktop,Mobile App,733.42,,,
120,S119,,2024-01-13 17:03:00,C103300,New,P1055,Sports & Outdoors,add_to_cart,mobile,Mobile App,733.42,,,
121,S121,,2024-01-13 04:35:00,C100068,Returning,P1068,Travel & Hospitality,view,tablet,Retail Store,75.08,,,
122,S121,,2024-01-13 04:38:00,C100068,Returning,P1068,Travel & Hospitality,add_to_cart,mobile,Retail Store,75.08,,,
123,S123,,2024-01-13 10:50:00,C100719,New,P1055,Sports & Outdoors,view,tablet,Mobile App,733.42,,,
124,S123,,2024-01-13 10:53:00,C100719,New,P1055,Sports & Outdoors,add_to_cart,mobile,Mobile App,733.42,,,
125,S125,,2024-01-13 06:03:00,C103734,Loyal,P1055,Sports & Outdoors,view,tablet,Mobile App,733.42,,,
126,S126,,2024-01-13 00:39:00,C101824,Returning,P1068,Travel & Hospitality,view,desktop,Retail Store,75.08,,,
127,S126,,2024-01-13 00:42:00,C101824,Returning,P1068,Travel & Hospitality,add_to_cart,mobile,Retail Store,75.08,,,
128,S126,O126,2024-01-13 00:45:00,C101824,Returning,P1068,Travel & Hospitality,purchase,tablet,Retail Store,75.08,1.0,75.08,Net Banking
129,S129,,2024-01-13 12:15:00,C100927,VIP,P1022,Home & Kitchen,view,desktop,Website,758.2,,,
130,S130,,2024-01-13 22:50:00,C103541,New,P1060,Travel & Hospitality,view,mobile,Marketplace-A,287.2,,,
131,S130,,2024-01-13 22:53:00,C103541,New,P1060,Travel & Hospitality,add_to_cart,desktop,Marketplace-A,287.2,,,
132,S130,O130,2024-01-13 22:56:00,C103541,New,P1060,Travel & Hospitality,purchase,desktop,Marketplace-A,287.2,1.0,287.2,Credit Card
133,S133,,2024-01-13 04:00:00,C103863,Returning,P1005,Electronics,view,mobile,Mobile App,473.09,,,
134,S134,,2024-01-13 16:09:00,C100924,Returning,P1022,Home & Kitchen,view,desktop,Website,758.2,,,
135,S134,,2024-01-13 16:12:00,C100924,Returning,P1022,Home & Kitchen,add_to_cart,mobile,Website,758.2,,,
136,S136,,2024-01-13 16:07:00,C103742,New,P1055,Sports & Outdoors,view,desktop,Mobile App,733.42,,,
137,S136,,2024-01-13 16:10:00,C103742,New,P1055,Sports & Outdoors,add_to_cart,desktop,Mobile App,733.42,,,
138,S136,O136,2024-01-13 16:13:00,C103742,New,P1055,Sports & Outdoors,purchase,mobile,Mobile App,733.42,3.0,2200.26,UPI
139,S139,,2024-01-13 13:46:00,C102708,New,P1011,Fashion,view,tablet,Website,272.73,,,
140,S140,,2024-01-13 15:29:00,C101004,New,P1011,Fashion,view,tablet,Website,272.73,,,
141,S141,,2024-01-13 03:36:00,C102891,New,P1005,Electronics,view,tablet,Mobile App,473.09,,,
142,S142,,2024-01-13 17:54:00,C102430,New,P1060,Travel & Hospitality,view,mobile,Marketplace-A,287.2,,,
143,S143,,2024-01-13 22:16:00,C102063,Returning,P1055,Sports & Outdoors,view,mobile,Mobile App,733.42,,,
144,S144,,2024-01-16 22:10:00,C102319,Loyal,P1005,Electronics,view,desktop,Mobile App,330.22,,,
145,S145,,2024-01-16 14:51:00,C100831,New,P1011,Fashion,view,tablet,Website,202.64,,,
146,S145,,2024-01-16 14:54:00,C100831,New,P1011,Fashion,add_to_cart,mobile,Website,202.64,,,
147,S147,,2024-01-16 22:30:00,C101500,VIP,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
148,S148,,2024-01-16 01:43:00,C101715,New,P1068,Travel & Hospitality,view,tablet,Marketplace-A,75.08,,,
149,S149,,2024-01-16 07:44:00,C101199,VIP,P1055,Sports & Outdoors,view,tablet,Marketplace-A,572.07,,,
150,S149,,2024-01-16 07:47:00,C101199,VIP,P1055,Sports & Outdoors,add_to_cart,tablet,Marketplace-A,572.07,,,
151,S151,,2024-01-16 11:13:00,C103453,New,P1068,Travel & Hospitality,view,tablet,Marketplace-A,75.08,,,
152,S151,,2024-01-16 11:16:00,C103453,New,P1068,Travel & Hospitality,add_to_cart,desktop,Marketplace-A,75.08,,,
153,S151,O151,2024-01-16 11:19:00,C103453,New,P1068,Travel & Hospitality,purchase,tablet,Marketplace-A,75.08,1.0,75.08,COD
154,S154,,2024-01-16 19:00:00,C103575,New,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
155,S154,,2024-01-16 19:03:00,C103575,New,P1060,Travel & Hospitality,add_to_cart,desktop,Marketplace-A,204.49,,,
156,S156,,2024-01-16 22:13:00,C103754,New,P1055,Sports & Outdoors,view,desktop,Marketplace-A,572.07,,,
157,S157,,2024-01-16 13:48:00,C103174,VIP,P1005,Electronics,view,desktop,Mobile App,330.22,,,
158,S157,,2024-01-16 13:51:00,C103174,VIP,P1005,Electronics,add_to_cart,desktop,Mobile App,330.22,,,
159,S159,,2024-01-16 05:20:00,C100434,New,P1022,Home & Kitchen,view,tablet,Marketplace-A,607.32,,,
160,S159,,2024-01-16 05:23:00,C100434,New,P1022,Home & Kitchen,add_to_cart,tablet,Marketplace-A,607.32,,,
161,S161,,2024-01-16 16:43:00,C102312,New,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
162,S162,,2024-01-16 06:11:00,C100450,Loyal,P1022,Home & Kitchen,view,desktop,Marketplace-A,607.32,,,
163,S162,,2024-01-16 06:14:00,C100450,Loyal,P1022,Home & Kitchen,add_to_cart,tablet,Marketplace-A,607.32,,,
164,S164,,2024-01-16 12:54:00,C101170,Returning,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
165,S165,,2024-01-16 05:28:00,C102928,New,P1055,Sports & Outdoors,view,desktop,Marketplace-A,572.07,,,
166,S166,,2024-01-16 21:58:00,C103771,Returning,P1022,Home & Kitchen,view,mobile,Marketplace-A,607.32,,,
167,S166,,2024-01-16 22:01:00,C103771,Returning,P1022,Home & Kitchen,add_to_cart,mobile,Marketplace-A,607.32,,,
168,S168,,2024-01-16 08:13:00,C101173,New,P1060,Travel & Hospitality,view,desktop,Marketplace-A,204.49,,,
169,S169,,2024-01-16 10:46:00,C101292,New,P1005,Electronics,view,mobile,Mobile App,330.22,,,
170,S170,,2024-01-16 12:47:00,C102135,Returning,P1068,Travel & Hospitality,view,tablet,Marketplace-A,75.08,,,
171,S170,,2024-01-16 12:50:00,C102135,Returning,P1068,Travel & Hospitality,add_to_cart,tablet,Marketplace-A,75.08,,,
172,S172,,2024-01-16 04:48:00,C102166,New,P1060,Travel & Hospitality,view,mobile,Marketplace-A,204.49,,,
173,S172,,2024-01-16 04:51:00,C102166,New,P1060,Travel & Hospitality,add_to_cart,tablet,Marketplace-A,204.49,,,
174,S172,O172,2024-01-16 04:54:00,C102166,New,P1060,Travel & Hospitality,purchase,tablet,Marketplace-A,204.49,1.0,204.49,Wallet
175,S175,,2024-01-16 21:13:00,C101391,Loyal,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
176,S175,,2024-01-16 21:16:00,C101391,Loyal,P1060,Travel & Hospitality,add_to_cart,tablet,Marketplace-A,204.49,,,
177,S177,,2024-01-16 07:02:00,C101510,Loyal,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
178,S178,,2024-01-16 01:56:00,C102368,Returning,P1060,Travel & Hospitality,view,mobile,Marketplace-A,204.49,,,
179,S179,,2024-01-16 15:39:00,C103126,New,P1022,Home & Kitchen,view,tablet,Marketplace-A,607.32,,,
180,S180,,2024-01-16 01:00:00,C101242,VIP,P1055,Sports & Outdoors,view,mobile,Marketplace-A,572.07,,,
181,S181,,2024-01-16 21:53:00,C100098,Loyal,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
182,S181,,2024-01-16 21:56:00,C100098,Loyal,P1060,Travel & Hospitality,add_to_cart,desktop,Marketplace-A,204.49,,,
183,S183,,2024-01-16 11:55:00,C102338,New,P1005,Electronics,view,mobile,Mobile App,330.22,,,
184,S183,,2024-01-16 11:58:00,C102338,New,P1005,Electronics,add_to_cart,desktop,Mobile App,330.22,,,
185,S185,,2024-01-16 09:06:00,C101691,Returning,P1011,Fashion,view,mobile,Website,202.64,,,
186,S185,,2024-01-16 09:09:00,C101691,Returning,P1011,Fashion,add_to_cart,desktop,Website,202.64,,,
187,S187,,2024-01-16 04:07:00,C100718,New,P1005,Electronics,view,desktop,Mobile App,330.22,,,
188,S187,,2024-01-16 04:10:00,C100718,New,P1005,Electronics,add_to_cart,mobile,Mobile App,330.22,,,
189,S187,O187,2024-01-16 04:13:00,C100718,New,P1005,Electronics,purchase,mobile,Mobile App,330.22,1.0,330.22,Wallet
190,S190,,2024-01-16 10:08:00,C102682,New,P1060,Travel & Hospitality,view,tablet,Marketplace-A,204.49,,,
191,S190,,2024-01-16 10:11:00,C102682,New,P1060,Travel & Hospitality,add_to_cart,tablet,Marketplace-A,204.49,,,
192,S192,,2024-01-16 05:00:00,C100230,Returning,P1011,Fashion,view,desktop,Website,202.64,,,
193,S193,,2024-01-16 04:18:00,C101019,New,P1011,Fashion,view,desktop,Website,202.64,,,
194,S194,,2024-01-16 00:54:00,C103568,Returning,P1011,Fashion,view,mobile,Website,202.64,,,
195,S195,,2024-01-16 03:17:00,C101455,Returning,P1005,Electronics,view,desktop,Mobile App,330.22,,,
196,S195,,2024-01-16 03:20:00,C101455,Returning,P1005,Electronics,add_to_cart,mobile,Mobile App,330.22,,,
197,S197,,2024-01-16 15:34:00,C100605,New,P1060,Travel & Hospitality,view,desktop,Marketplace-A,204.49,,,
198,S197,,2024-01-16 15:37:00,C100605,New,P1060,Travel & Hospitality,add_to_cart,desktop,Marketplace-A,204.49,,,
199,S199,,2024-01-19 16:15:00,C103626,VIP,P1011,Fashion,view,tablet,Marketplace-A,174.58,,,
200,S200,,2024-01-19 21:22:00,C100112,Returning,P1011,Fashion,view,mobile,Marketplace-A,174.58,,,
201,S200,,2024-01-19 21:25:00,C100112,Returning,P1011,Fashion,add_to_cart,tablet,Marketplace-A,174.58,,,
202,S200,O200,2024-01-19 21:28:00,C100112,Returning,P1011,Fashion,purchase,tablet,Marketplace-A,174.58,3.0,523.74,Credit Card
203,S203,,2024-01-19 21:50:00,C102810,Returning,P1022,Home & Kitchen,view,desktop,Marketplace-B,495.1,,,
204,S203,,2024-01-19 21:53:00,C102810,Returning,P1022,Home & Kitchen,add_to_cart,tablet,Marketplace-B,495.1,,,
205,S205,,2024-01-19 09:51:00,C101556,New,P1022,Home & Kitchen,view,mobile,Marketplace-B,495.1,,,
206,S206,,2024-01-19 12:32:00,C103319,New,P1011,Fashion,view,tablet,Marketplace-A,174.58,,,
207,S207,,2024-01-19 16:22:00,C103235,Loyal,P1022,Home & Kitchen,view,tablet,Marketplace-B,495.1,,,
208,S207,,2024-01-19 16:25:00,C103235,Loyal,P1022,Home & Kitchen,add_to_cart,tablet,Marketplace-B,495.1,,,
209,S209,,2024-01-19 18:04:00,C103917,New,P1068,Travel & Hospitality,view,mobile,Marketplace-A,59.84,,,
210,S210,,2024-01-19 04:15:00,C101251,New,P1037,Beauty & Personal Care,view,tablet,Marketplace-A,187.86,,,
211,S210,,2024-01-19 04:18:00,C101251,New,P1037,Beauty & Personal Care,add_to_cart,mobile,Marketplace-A,187.86,,,
212,S212,,2024-01-19 12:38:00,C103902,Returning,P1022,Home & Kitchen,view,tablet,Marketplace-B,495.1,,,
213,S212,,2024-01-19 12:41:00,C103902,Returning,P1022,Home & Kitchen,add_to_cart,mobile,Marketplace-B,495.1,,,
214,S214,,2024-01-19 12:28:00,C103705,Returning,P1005,Electronics,view,mobile,Marketplace-A,393.14,,,
215,S215,,2024-01-19 08:39:00,C103997,Returning,P1068,Travel & Hospitality,view,mobile,Marketplace-A,59.84,,,
216,S216,,2024-01-19 05:09:00,C102322,New,P1037,Beauty & Personal Care,view,mobile,Marketplace-A,187.86,,,
217,S216,,2024-01-19 05:12:00,C102322,New,P1037,Beauty & Personal Care,add_to_cart,tablet,Marketplace-A,187.86,,,
218,S218,,2024-01-19 20:36:00,C100548,New,P1037,Beauty & Personal Care,view,tablet,Marketplace-A,187.86,,,
219,S219,,2024-01-19 17:58:00,C100965,New,P1005,Electronics,view,tablet,Marketplace-A,393.14,,,
220,S220,,2024-01-19 19:56:00,C100752,Returning,P1011,Fashion,view,tablet,Marketplace-A,174.58,,,
221,S221,,2024-01-19 05:58:00,C102857,New,P1037,Beauty & Personal Care,view,desktop,Marketplace-A,187.86,,,
222,S221,,2024-01-19 06:01:00,C102857,New,P1037,Beauty & Personal Care,add_to_cart,desktop,Marketplace-A,187.86,,,
223,S223,,2024-01-19 00:43:00,C102729,Returning,P1055,Sports & Outdoors,view,desktop,Mobile App,559.6,,,
224,S224,,2024-01-19 05:55:00,C100866,Loyal,P1055,Sports & Outdoors,view,mobile,Mobile App,559.6,,,
225,S224,,2024-01-19 05:58:00,C100866,Loyal,P1055,Sports & Outdoors,add_to_cart,mobile,Mobile App,559.6,,,
226,S224,O224,2024-01-19 06:01:00,C100866,Loyal,P1055,Sports & Outdoors,purchase,desktop,Mobile App,559.6,1.0,559.6,COD
227,S227,,2024-01-19 15:26:00,C102139,Loyal,P1022,Home & Kitchen,view,mobile,Marketplace-B,495.1,,,
