Transaction_ID,Product_ID,Product_Category,Price,Discount,Customer_ID,Customer_Age,Customer_Gender,Purchase_Timestamp,Payment_Method,Shipping_Type,Review_Rating,Purchase Probability
T574923,P3119,Electronics,940.22,213.09,C46386,44,Other,2/2/2024 11:39,Credit Card,Standard,2,0
T548964,P7534,Clothing,730.98,52.2,C94256,70,Other,12/19/2024 3:13,Debit Card,Standard,4,0
T755960,P5625,Clothing,619.92,168.05,C94935,49,Other,8/3/2024 20:38,Debit Card,Standard,5,1
T814817,P7538,Clothing,315.24,17.08,C33937,32,Male,10/24/2024 19:52,Net Banking,Standard,5,1
T119239,P2643,Electronics,755.68,135.06,C89120,54,Female,5/3/2024 21:30,Debit Card,Express,3,0
T913367,P2722,Books,630.21,188.51,C75990,34,Male,10/6/2024 17:39,PayPal,Express,3,1
T467844,P3348,Clothing,958.6,148.48,C35213,61,Male,1/14/2024 17:20,Credit Card,Express,2,0
T565299,P7378,Clothing,256.7,56.8,C93430,62,Other,11/28/2024 1:26,PayPal,Express,1,0
T417121,P6673,Home & Kitchen,979.25,283.78,C19825,44,Other,7/29/2024 9:22,Debit Card,Standard,4,1
T226923,P3193,Home & Kitchen,565.28,58.53,C99282,18,Other,5/28/2024 2:51,Net Banking,Standard,2,0
T180698,P6397,Clothing,36.95,5.72,C71363,54,Other,6/9/2024 10:06,Credit Card,Standard,3,1
T931365,P3783,Electronics,388.1,60.59,C68337,38,Other,12/28/2024 8:52,Credit Card,Standard,5,1
T466818,P9620,Clothing,553.41,71.05,C90239,61,Other,7/22/2024 21:21,PayPal,Express,2,0
T704741,P3194,Electronics,944.94,208.05,C15084,37,Male,8/26/2024 21:22,Debit Card,Express,2,0
T603428,P6812,Clothing,800.58,23.53,C66563,42,Female,12/21/2024 18:55,Net Banking,Standard,3,0
T736895,P3428,Electronics,383.11,41.45,C87521,53,Other,5/10/2024 4:09,Debit Card,Express,5,1
T846715,P9629,Home & Kitchen,175.11,20.95,C91903,45,Male,8/20/2024 21:42,Credit Card,Express,5,1
T779022,P1585,Electronics,180.4,8.09,C79298,68,Other,10/8/2024 0:37,Net Banking,Express,3,0
T489113,P3342,Electronics,632.73,19.19,C49875,33,Other,12/31/2024 11:52,Debit Card,Standard,4,1
T260349,P1246,Books,666.63,80.53,C98626,34,Female,1/16/2024 18:45,PayPal,Standard,1,0
T757355,P8197,Books,668.1,88.1,C65823,32,Female,12/11/2024 8:00,Credit Card,Standard,3,0
T844866,P9186,Electronics,693.18,165.9,C38081,19,Other,12/2/2024 13:56,PayPal,Standard,3,1
T992065,P4676,Electronics,483.52,15,C89191,49,Female,3/31/2024 9:38,Net Banking,Express,3,0
T601261,P6138,Electronics,206.56,44.22,C52759,24,Male,12/16/2024 0:17,PayPal,Express,1,0
T503191,P1361,Books,471.19,60.05,C89155,34,Male,1/23/2024 20:31,Debit Card,Standard,2,0
T927552,P3238,Home & Kitchen,592.05,0.14,C51035,33,Female,8/20/2024 7:39,Net Banking,Standard,4,1
T950878,P3294,Home & Kitchen,932.58,270.41,C67854,24,Male,10/20/2024 20:36,Debit Card,Express,5,1
T979723,P7342,Books,613.05,169.98,C83336,26,Male,11/16/2024 8:22,Net Banking,Express,4,1
T329275,P3404,Clothing,171.97,15.38,C72125,19,Male,6/18/2024 22:44,Net Banking,Express,5,1
T689703,P4543,Electronics,521.92,46.66,C44226,35,Female,5/16/2024 19:52,Credit Card,Standard,5,1
T553544,P3261,Books,624.92,170.72,C11356,46,Male,10/16/2024 14:36,Net Banking,Standard,4,1
T392343,P7686,Electronics,633.45,44.6,C12247,45,Male,3/2/2024 2:43,Debit Card,Standard,2,0
T110831,P7060,Books,236,42.6,C30076,21,Female,2/14/2024 8:30,Net Banking,Standard,1,0
T228379,P9571,Books,650.85,172.99,C85357,24,Male,6/23/2024 1:17,Debit Card,Standard,1,0
T450795,P2045,Books,241.99,59.53,C12547,30,Male,11/28/2024 1:14,Debit Card,Standard,1,0
T897370,P2779,Books,14.86,3.82,C26436,49,Other,4/4/2024 7:48,Net Banking,Express,5,1
T517317,P2282,Electronics,706.47,148.05,C43837,46,Other,6/18/2024 14:52,Net Banking,Standard,1,0
T512631,P1010,Clothing,387.03,107.53,C91065,35,Other,5/1/2024 22:03,Credit Card,Standard,5,1
T766636,P7025,Home & Kitchen,77.88,16.87,C11017,51,Female,5/14/2024 20:11,PayPal,Express,4,1
T981121,P8641,Books,131.88,3.56,C11014,68,Male,5/20/2024 7:06,Net Banking,Express,4,1
T940337,P3544,Books,605.79,156.93,C69334,23,Female,8/6/2024 10:58,Credit Card,Express,2,0
T589845,P2008,Books,595.18,144.85,C89922,68,Other,7/16/2024 6:51,Credit Card,Standard,5,1
T776597,P6426,Electronics,400.41,113.58,C91414,55,Other,4/20/2024 12:28,Credit Card,Express,5,1
T722009,P4196,Books,925.23,140.43,C19420,57,Male,9/8/2024 17:43,PayPal,Express,5,1
T288225,P4929,Electronics,681.7,178.57,C86430,33,Other,11/1/2024 1:56,Net Banking,Express,5,1
T158646,P8991,Books,597.25,40.14,C11475,66,Other,1/4/2024 18:19,Credit Card,Standard,1,0
T598674,P2307,Clothing,299.28,58.91,C96827,58,Female,7/26/2024 15:04,Credit Card,Express,5,1
T312133,P5800,Home & Kitchen,907.27,235.5,C74085,30,Male,4/17/2024 16:37,PayPal,Express,3,0
T223897,P8136,Clothing,991.75,145.56,C31733,22,Female,1/15/2024 1:53,Net Banking,Express,1,0
T145146,P5209,Home & Kitchen,815.43,202.3,C42947,55,Male,6/15/2024 6:53,Debit Card,Standard,4,0
T458531,P6159,Home & Kitchen,664.39,197.32,C73358,30,Female,5/9/2024 6:08,Debit Card,Standard,4,1
T724924,P4357,Books,105.25,29.18,C33340,45,Other,8/12/2024 16:25,Debit Card,Standard,3,1
T108129,P5759,Books,678.13,149.32,C46931,33,Male,5/25/2024 16:29,Credit Card,Express,5,1
T659104,P3915,Electronics,86.5,23.58,C25984,56,Male,6/25/2024 23:31,Credit Card,Standard,1,0
T889760,P1460,Electronics,802.99,61.51,C66438,45,Male,2/24/2024 6:57,Debit Card,Standard,4,0
T811614,P1909,Clothing,538.41,18.69,C84124,29,Other,1/6/2024 19:24,Credit Card,Standard,5,1
T423815,P2756,Electronics,533.93,61.6,C69994,19,Male,8/30/2024 8:32,Credit Card,Standard,1,0
T654421,P7840,Electronics,906.18,134.7,C55044,32,Other,6/30/2024 12:03,Debit Card,Express,2,0
T633989,P4264,Clothing,655.68,43.04,C70846,25,Female,2/27/2024 2:33,Debit Card,Standard,3,0
T230557,P4446,Books,477.28,77.59,C88224,66,Female,3/14/2024 20:05,Net Banking,Express,2,0
T311616,P5810,Electronics,323.27,24.24,C13313,20,Other,11/8/2024 19:01,Debit Card,Express,5,1
T313362,P3749,Clothing,369.5,40.56,C11785,50,Female,6/15/2024 22:51,Credit Card,Standard,5,1
T972815,P1221,Books,179.35,33.87,C25644,31,Other,10/13/2024 22:30,Debit Card,Standard,2,1
T113855,P4049,Home & Kitchen,236.1,45.11,C28465,47,Female,5/15/2024 0:32,Credit Card,Standard,3,1
T841728,P1036,Clothing,82.72,9.76,C66577,52,Female,8/3/2024 4:19,Credit Card,Express,1,0
T160222,P6348,Clothing,362.11,74.27,C40991,46,Male,10/19/2024 5:28,PayPal,Express,3,1
T280460,P5658,Home & Kitchen,494.14,86.42,C22185,26,Male,2/23/2024 8:35,Net Banking,Express,3,1
T178565,P1036,Books,843,154.58,C76997,57,Male,12/24/2024 8:18,Net Banking,Standard,1,0
T192804,P5195,Clothing,887.1,126.66,C70141,51,Female,3/9/2024 3:08,Credit Card,Express,3,0
T516889,P7937,Books,885.28,200.53,C50663,38,Female,8/10/2024 4:12,Credit Card,Standard,5,1
T360273,P3486,Books,446.81,46.82,C86130,65,Female,2/8/2024 17:55,Credit Card,Standard,4,1
T951264,P7124,Clothing,305.02,2.02,C30668,28,Female,4/30/2024 19:32,Credit Card,Standard,5,1
T417121,P6673,Home & Kitchen,979.25,283.78,C19825,44,Other,7/29/2024 9:22,Debit Card,Standard,4,1
T302175,P6627,Electronics,570.52,49.88,C24212,56,Female,5/19/2024 18:42,Debit Card,Express,4,1
T125993,P1455,Clothing,249.93,29.09,C44727,39,Other,12/17/2024 23:51,Debit Card,Standard,2,0
T351203,P3418,Books,780.62,162.16,C10480,21,Other,6/9/2024 7:10,Credit Card,Express,5,1
T326539,P8535,Home & Kitchen,40.45,4.2,C45496,65,Male,5/17/2024 6:07,Credit Card,Express,4,1
T650107,P6717,Home & Kitchen,424.91,22.46,C29813,42,Female,6/24/2024 1:19,Debit Card,Standard,5,1
T804205,P6704,Electronics,716.35,98.23,C82614,27,Male,6/10/2024 3:26,Credit Card,Express,3,0
T741376,P3499,Electronics,736.92,51.58,C47248,22,Female,2/27/2024 17:36,PayPal,Standard,2,0
T689520,P3141,Clothing,878.73,179.37,C71420,44,Other,12/27/2024 6:14,Net Banking,Express,3,0
T852498,P9303,Home & Kitchen,753.81,14.8,C18517,59,Other,10/19/2024 1:46,PayPal,Express,4,0
T807941,P9782,Books,93.08,20,C24525,43,Male,10/13/2024 19:01,Credit Card,Express,4,1
T814806,P6524,Books,142.6,31.97,C70710,30,Male,9/3/2024 4:48,Net Banking,Express,1,0
T816208,P8601,Books,264.5,67.42,C44582,48,Female,1/11/2024 14:17,PayPal,Express,2,0
T315816,P2026,Home & Kitchen,548.26,16.97,C24083,18,Male,6/30/2024 5:33,PayPal,Express,1,0
T250225,P8131,Home & Kitchen,888.28,50.65,C94760,47,Male,5/11/2024 18:36,Net Banking,Standard,5,1
T886488,P2429,Home & Kitchen,401.48,16.42,C30498,49,Female,6/4/2024 6:16,Debit Card,Express,2,0
T542413,P6931,Home & Kitchen,273.14,73.68,C67736,43,Female,2/7/2024 8:16,PayPal,Standard,3,1
T621506,P9402,Home & Kitchen,155.76,16.43,C41755,28,Other,1/22/2024 15:27,Credit Card,Standard,2,1
T428534,P5641,Clothing,916.46,105.2,C43478,24,Female,9/8/2024 8:42,Credit Card,Standard,2,0
T859483,P5965,Clothing,610.98,146.48,C64327,63,Male,6/2/2024 9:34,Credit Card,Express,2,0
T444258,P5161,Clothing,492.66,111.58,C89449,25,Other,11/7/2024 15:35,Credit Card,Standard,2,0
T875351,P2390,Electronics,479.63,137.89,C80520,67,Female,4/8/2024 17:50,Debit Card,Standard,2,0
T799627,P8173,Electronics,158.92,34.94,C67063,42,Female,12/15/2024 5:23,Net Banking,Standard,3,1
T481698,P8476,Books,612.1,130.72,C32715,63,Female,5/17/2024 3:54,PayPal,Standard,5,1
T859802,P6914,Electronics,785.62,223.95,C52737,39,Male,1/14/2024 1:19,Credit Card,Standard,1,0
T797519,P6131,Electronics,817.21,153.15,C85058,47,Male,8/10/2024 8:07,Debit Card,Standard,5,1
T748845,P7423,Books,267.81,1.05,C54562,60,Male,9/1/2024 11:48,PayPal,Standard,1,0
T668855,P4317,Books,205.37,36.41,C50035,25,Other,3/7/2024 15:20,Credit Card,Standard,1,0
T898966,P9943,Books,294.69,87.34,C81347,27,Female,7/31/2024 3:50,Credit Card,Express,3,1
T221865,P6914,Electronics,833.65,119.13,C16937,30,Other,10/23/2024 5:40,Net Banking,Standard,1,0
T133918,P5128,Electronics,529.02,8.1,C95204,46,Male,7/20/2024 0:08,Debit Card,Express,3,0
T931242,P7653,Clothing,724.85,189.58,C36644,49,Male,12/14/2024 2:55,Debit Card,Express,1,0
T340927,P1023,Clothing,24.15,1.96,C92138,67,Male,6/17/2024 14:43,Net Banking,Standard,4,1
T904826,P1276,Clothing,127.55,30.7,C18320,27,Male,3/10/2024 16:16,Credit Card,Express,4,1
T268395,P7849,Home & Kitchen,225.43,64.96,C30057,52,Male,4/8/2024 14:53,Net Banking,Standard,2,0
T335008,P3760,Clothing,237.46,17.44,C60243,59,Male,12/10/2024 8:44,PayPal,Express,5,1
T240606,P7115,Home & Kitchen,513,114.81,C75910,26,Female,2/9/2024 7:37,Net Banking,Express,4,1
T744284,P1246,Home & Kitchen,849.26,243.68,C39943,68,Female,1/7/2024 18:13,PayPal,Express,2,0
T177496,P8668,Electronics,824.3,18.97,C89435,60,Other,1/11/2024 20:42,PayPal,Express,1,0
T406455,P9023,Electronics,806.51,88.72,C48703,30,Female,9/18/2024 17:58,Debit Card,Express,2,0
T733175,P8664,Home & Kitchen,524.09,130.18,C72382,21,Other,4/28/2024 17:28,Debit Card,Express,4,1
T249895,P4520,Books,718.4,190.95,C25074,68,Male,4/25/2024 3:46,Net Banking,Standard,5,1
T412351,P5028,Clothing,428.5,55.36,C64081,30,Female,3/12/2024 6:41,PayPal,Standard,4,1
T542465,P4458,Electronics,656.64,155.64,C22863,55,Female,7/13/2024 0:58,Debit Card,Standard,3,0
T260421,P2914,Clothing,862.96,242.38,C30390,30,Female,8/2/2024 0:24,Debit Card,Express,2,0
T721808,P4464,Clothing,219.98,16.34,C18618,55,Male,10/19/2024 22:51,Debit Card,Standard,2,0
T725769,P9590,Books,559.3,77.65,C97281,57,Male,3/13/2024 15:37,Net Banking,Standard,5,1
T487912,P5448,Books,537.15,89.59,C54724,56,Male,3/23/2024 22:10,Net Banking,Standard,4,1
T712161,P8863,Clothing,241.87,25.33,C21559,57,Male,1/1/2024 18:07,Credit Card,Express,3,1
T377168,P4769,Books,200.27,34.24,C80731,37,Female,12/31/2024 21:59,Credit Card,Standard,1,0
T549942,P9300,Books,88.63,4.6,C73709,23,Male,4/23/2024 6:37,Net Banking,Express,1,0
T459514,P8269,Books,578.74,34.1,C62539,52,Other,11/6/2024 11:04,PayPal,Express,1,0
T538820,P6393,Books,874.29,195.41,C20398,22,Other,6/18/2024 7:48,Debit Card,Express,5,1
T753265,P4218,Clothing,727.81,217.33,C28315,62,Male,8/2/2024 19:50,PayPal,Express,5,1
T709443,P5166,Electronics,270.39,19.59,C55139,44,Male,11/20/2024 16:02,Credit Card,Standard,1,0
T524684,P1187,Electronics,221.82,1.89,C31763,46,Male,1/26/2024 16:55,Debit Card,Standard,5,1
T217744,P6322,Books,230.92,30.09,C77047,21,Male,4/13/2024 2:23,Credit Card,Standard,4,1
T671332,P5080,Clothing,151.37,41.73,C27191,30,Female,7/14/2024 19:44,Debit Card,Standard,3,1
T689703,P4543,Electronics,521.92,46.66,C44226,35,Female,5/16/2024 19:52,Credit Card,Standard,5,1
T564138,P6042,Books,258.65,8.64,C83319,69,Female,12/27/2024 1:21,Credit Card,Express,2,0
T991660,P2920,Clothing,690.77,10.4,C11369,37,Male,3/12/2024 13:43,Debit Card,Standard,3,0
T230370,P5634,Home & Kitchen,637.82,188.1,C55551,65,Male,11/6/2024 8:06,Net Banking,Express,1,0
T658540,P6991,Clothing,938.61,2.78,C32433,53,Other,8/29/2024 3:21,Debit Card,Standard,5,0
T504958,P5898,Electronics,437.49,88.11,C62995,69,Male,10/2/2024 1:55,Credit Card,Express,2,0
T997894,P8757,Books,41.01,6.11,C68303,36,Female,1/30/2024 10:36,PayPal,Express,2,1
T514536,P7917,Electronics,719.79,102,C54370,70,Female,10/21/2024 21:19,Net Banking,Express,4,0
T710131,P9064,Clothing,226.18,52.34,C98708,47,Female,9/5/2024 4:29,Debit Card,Express,1,0
T221865,P6914,Electronics,833.65,119.13,C16937,30,Other,10/23/2024 5:40,Net Banking,Standard,1,0
T741866,P4699,Electronics,373.62,95.39,C31497,23,Other,6/30/2024 0:10,Net Banking,Express,5,1
T734507,P8897,Books,530.07,131.86,C33219,35,Male,7/24/2024 18:37,Credit Card,Standard,4,1
T740878,P5657,Home & Kitchen,895.24,47.31,C85563,41,Female,6/28/2024 19:12,Credit Card,Standard,2,0
T617875,P3918,Electronics,651.58,94.02,C72161,25,Other,12/31/2024 13:47,Net Banking,Express,5,1
T551425,P2955,Books,385.42,66.56,C28483,30,Female,9/18/2024 19:43,Debit Card,Standard,2,0
T189592,P5816,Books,333.54,90.18,C28491,50,Female,11/23/2024 2:46,PayPal,Standard,2,0
T763506,P1759,Books,731.55,170.38,C19077,41,Male,9/17/2024 5:00,Credit Card,Express,2,0
T859577,P9235,Home & Kitchen,716.52,23.71,C99407,33,Male,1/27/2024 14:03,Debit Card,Standard,5,1
T586611,P9032,Electronics,236.48,50.87,C79584,25,Male,10/8/2024 4:06,Net Banking,Standard,3,1
T656428,P9046,Books,324.02,40.5,C96433,51,Female,1/21/2024 12:01,Net Banking,Express,4,1
T855282,P9229,Electronics,191.63,42.14,C25625,43,Female,3/10/2024 11:53,Net Banking,Standard,5,1
T607184,P6108,Clothing,373.17,85.86,C84907,41,Other,5/26/2024 3:39,PayPal,Standard,5,1
T716062,P6242,Clothing,62.43,18.42,C31923,18,Male,10/11/2024 10:46,PayPal,Standard,1,1
T516889,P7937,Books,885.28,200.53,C50663,38,Female,8/10/2024 4:12,Credit Card,Standard,5,1
T642869,P9589,Clothing,379.25,66.24,C29876,49,Other,11/10/2024 15:28,PayPal,Express,2,0
T506773,P7900,Books,211.16,52.55,C41917,51,Male,4/13/2024 12:11,Net Banking,Express,1,0
T435325,P1062,Books,845.83,215.28,C88074,44,Male,12/1/2024 21:32,PayPal,Express,1,0
T568309,P5949,Clothing,299.27,11.66,C81378,49,Male,11/16/2024 14:48,Credit Card,Express,5,1
T498173,P5512,Electronics,891.55,65.39,C99371,20,Female,11/17/2024 18:59,Credit Card,Express,2,0
T914334,P7230,Books,614.37,182.57,C41043,63,Other,5/13/2024 10:12,Credit Card,Express,2,0
T328945,P5632,Clothing,419.04,19.38,C38716,46,Male,4/9/2024 15:22,PayPal,Express,3,0
T477547,P9659,Home & Kitchen,601.89,168.63,C77753,25,Female,2/29/2024 8:16,PayPal,Standard,2,0
