Date,Store ID,Product ID,Inventory Level,Units Sold,Units Ordered,Price,Discount,Promotion,Competitor Pricing,Epidemic,Demand,Year,Month,Day,DayOfWeek,Price Difference,Price Ratio,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Region_North,Region_South,Region_West,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny,Seasonality_Spring,Seasonality_Summer,Seasonality_Winter
2022-01-01,S002,P0010,242,118,194,117.17,5,0,106.37,0,195,2022,1,1,5,10.799999999999997,1.101532386951208,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0011,206,49,191,84.71,10,0,76.07,0,79,2022,1,1,5,8.64,1.1135795977389247,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0012,197,78,413,78.86,0,0,69.84,0,122,2022,1,1,5,9.019999999999996,1.1291523482245132,True,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0013,152,93,331,21.76,10,0,21.12,0,109,2022,1,1,5,0.6400000000000006,1.0303030303030303,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0014,153,69,289,100.18,10,1,108.96,0,63,2022,1,1,5,-8.779999999999987,0.9194199706314244,True,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0015,106,70,457,65.19,10,0,64.23,0,96,2022,1,1,5,0.9599999999999937,1.0149462867818775,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0016,113,113,323,111.87,5,0,118.76,0,194,2022,1,1,5,-6.890000000000001,0.941983832940384,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0017,153,72,196,18.89,5,0,18.27,0,65,2022,1,1,5,0.620000000000001,1.033935413245758,False,False,False,True,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0018,126,69,86,27.67,0,0,26.08,0,79,2022,1,1,5,1.5900000000000034,1.0609662576687118,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0019,164,82,391,83.09,10,0,74.12,0,96,2022,1,1,5,8.969999999999999,1.1210199676200756,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0020,126,43,132,125.8,0,0,110.88,0,53,2022,1,1,5,14.920000000000002,1.1345598845598845,False,True,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S003,P0001,182,109,193,16.85,10,0,15.48,0,112,2022,1,1,5,1.370000000000001,1.0885012919896642,False,False,False,True,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0002,290,56,236,50.42,10,1,45.94,0,82,2022,1,1,5,4.480000000000004,1.0975185023944276,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0003,122,122,127,83.17,20,1,72.09,0,126,2022,1,1,5,11.079999999999998,1.1536967679289776,True,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0004,203,122,518,26.29,5,0,30.05,0,158,2022,1,1,5,-3.7600000000000016,0.8748752079866888,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0005,253,40,212,19.8,5,0,17.3,0,57,2022,1,1,5,2.5,1.1445086705202312,False,False,False,True,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0006,227,106,0,44.64,0,0,50.46,0,136,2022,1,1,5,-5.82,0.8846611177170035,False,False,False,True,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0007,247,123,552,18.65,0,0,21.62,0,142,2022,1,1,5,-2.9700000000000024,0.8626271970397779,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0008,297,61,0,113.01,0,0,126.44,0,89,2022,1,1,5,-13.429999999999993,0.8937836127807657,False,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0009,226,96,0,56.32,5,0,66.33,0,126,2022,1,1,5,-10.009999999999998,0.8490878938640133,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0010,167,70,127,36.21,10,0,39.87,0,106,2022,1,1,5,-3.6599999999999966,0.908201655379985,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0011,159,157,293,131.16,10,0,139.75,0,149,2022,1,1,5,-8.590000000000003,0.9385330948121645,True,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0012,126,58,131,105.94,0,0,103.35,0,80,2022,1,1,5,2.5900000000000034,1.025060474117078,False,True,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0013,105,105,743,86.78,10,0,78.8,0,176,2022,1,1,5,7.980000000000004,1.101269035532995,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0014,271,27,0,61.69,25,1,53.36,0,44,2022,1,1,5,8.329999999999998,1.1561094452773613,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0015,166,131,500,98.46,10,0,104.52,0,133,2022,1,1,5,-6.060000000000002,0.9420206659012629,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0016,292,80,0,94.11,10,0,107.33,0,108,2022,1,1,5,-13.219999999999999,0.8768284729339421,True,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0017,204,53,380,112.23,10,0,133.9,0,82,2022,1,1,5,-21.67,0.8381628080657206,False,True,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0018,289,56,316,134.95,5,0,125.53,0,75,2022,1,1,5,9.419999999999987,1.0750418226718712,False,True,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0019,201,109,0,59.71,0,0,70.74,0,123,2022,1,1,5,-11.029999999999994,0.8440769013288097,False,False,True,False,False,False,False,False,False,True,False,False,True
2022-01-01,S003,P0020,250,41,270,65.81,5,0,57.66,0,61,2022,1,1,5,8.150000000000006,1.1413458203260494,False,False,False,False,False,False,False,False,False,True,False,False,True
2022-01-01,S004,P0001,215,85,287,10.47,0,0,11.51,0,81,2022,1,1,5,-1.0399999999999991,0.9096437880104258,False,False,True,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0002,283,67,0,19.12,10,1,20.62,0,112,2022,1,1,5,-1.5,0.92725509214355,False,False,True,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0003,161,92,407,134.16,20,1,117.74,0,114,2022,1,1,5,16.42,1.1394598267368778,False,True,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0004,168,88,252,51.64,0,0,57.32,0,86,2022,1,1,5,-5.68,0.900907187718074,False,False,True,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0005,289,197,0,89.23,10,0,77.73,0,183,2022,1,1,5,11.5,1.1479480252154894,False,False,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0006,206,48,162,35.33,0,0,34.77,0,73,2022,1,1,5,0.5599999999999952,1.0161058383664077,False,False,True,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0007,185,43,253,24.34,5,0,26.46,0,65,2022,1,1,5,-2.120000000000001,0.9198790627362056,False,False,True,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0008,281,59,0,100.64,0,0,118.02,0,80,2022,1,1,5,-17.379999999999995,0.8527368242670734,False,True,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0009,206,106,299,110.47,5,0,122.04,0,98,2022,1,1,5,-11.570000000000007,0.9051950180268764,False,False,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0010,223,120,597,30.02,0,0,29.15,0,128,2022,1,1,5,0.870000000000001,1.0298456260720412,False,False,True,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0011,195,60,293,52.89,0,0,62.29,0,61,2022,1,1,5,-9.399999999999999,0.8490929523197945,False,False,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0012,111,111,113,118.15,0,0,133.46,0,103,2022,1,1,5,-15.310000000000002,0.8852839802187922,True,False,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0013,136,104,385,20.24,10,0,18.9,0,110,2022,1,1,5,1.3399999999999999,1.0708994708994708,False,False,True,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0014,110,52,122,148.46,10,1,178.25,0,70,2022,1,1,5,-29.789999999999992,0.8328751753155681,False,True,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0015,249,42,0,86.47,5,0,81.87,0,44,2022,1,1,5,4.599999999999994,1.0561866373518993,False,True,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0016,155,74,218,110.39,10,0,101.16,0,71,2022,1,1,5,9.230000000000004,1.0912415974693555,False,True,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0017,232,65,0,84.83,10,0,94.7,0,85,2022,1,1,5,-9.870000000000005,0.8957761351636747,False,False,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0018,165,64,0,141.31,10,0,150.73,0,67,2022,1,1,5,-9.419999999999987,0.9375041464870962,False,True,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0019,146,125,103,56.86,10,0,64.61,0,111,2022,1,1,5,-7.75,0.8800495279368519,False,False,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S004,P0020,290,52,0,124.97,10,0,110.39,0,76,2022,1,1,5,14.579999999999998,1.1320771809040673,False,True,False,False,False,False,True,False,True,False,False,False,True
2022-01-01,S005,P0001,182,75,198,11.46,5,0,9.92,0,84,2022,1,1,5,1.540000000000001,1.155241935483871,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0002,131,131,474,48.68,10,1,51.85,0,186,2022,1,1,5,-3.1700000000000017,0.9388621022179363,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0003,247,145,0,29.57,20,1,26.3,0,143,2022,1,1,5,3.2699999999999996,1.1243346007604562,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0004,195,143,114,7.45,10,0,8.33,0,121,2022,1,1,5,-0.8799999999999999,0.8943577430972389,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0005,187,126,344,20.02,0,0,18.12,0,148,2022,1,1,5,1.8999999999999986,1.1048565121412803,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0006,280,59,300,53.49,5,0,52.34,0,67,2022,1,1,5,1.1499999999999986,1.0219717233473442,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0007,297,74,0,82.73,0,0,79.8,0,85,2022,1,1,5,2.930000000000007,1.03671679197995,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0008,229,165,0,73.42,0,0,84.61,0,149,2022,1,1,5,-11.189999999999998,0.8677461292991372,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0009,270,59,268,94.75,0,0,112.34,0,94,2022,1,1,5,-17.590000000000003,0.8434217553854371,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0010,132,132,436,70.86,0,0,63.54,0,136,2022,1,1,5,7.32,1.1152030217186024,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0011,220,17,0,62.12,0,0,55.78,0,15,2022,1,1,5,6.339999999999996,1.1136608103262817,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0012,230,71,371,133.86,5,0,118.2,0,84,2022,1,1,5,15.66000000000001,1.1324873096446701,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0013,145,82,328,71.03,10,0,78.02,0,116,2022,1,1,5,-6.989999999999995,0.9104075877980006,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0014,193,63,219,161.18,10,1,156.66,0,82,2022,1,1,5,4.52000000000001,1.028852291586876,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0015,132,108,203,44.36,10,0,52.84,0,93,2022,1,1,5,-8.480000000000004,0.8395155185465556,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0016,131,59,191,32.84,0,0,39.5,0,76,2022,1,1,5,-6.659999999999997,0.8313924050632913,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0017,159,89,73,33.04,10,0,37.53,0,88,2022,1,1,5,-4.490000000000002,0.8803623767652544,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0018,245,68,0,22.41,0,0,22.24,0,88,2022,1,1,5,0.1700000000000017,1.0076438848920863,False,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0019,202,42,0,119.15,10,0,102.4,0,47,2022,1,1,5,16.75,1.16357421875,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S005,P0020,131,79,105,28.66,10,0,34.32,0,104,2022,1,1,5,-5.66,0.835081585081585,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0001,93,71,0,65.63,5,0,73.66,0,84,2022,1,2,6,-8.030000000000001,0.890985609557426,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0002,249,116,0,74.44,10,0,87.66,0,175,2022,1,2,6,-13.219999999999999,0.8491900524754734,False,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0003,133,130,0,66.15,0,0,74.15,0,156,2022,1,2,6,-8.0,0.8921105866486851,False,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0004,94,82,183,91.64,10,0,105.17,0,78,2022,1,2,6,-13.530000000000001,0.8713511457640011,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0005,87,87,487,63.35,0,0,61.2,0,103,2022,1,2,6,2.1499999999999986,1.0351307189542482,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0006,149,77,172,36.93,5,0,32.24,0,65,2022,1,2,6,4.689999999999998,1.1454714640198511,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0007,37,37,497,27.22,0,0,31.11,0,127,2022,1,2,6,-3.8900000000000006,0.8749598199935712,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0008,202,37,0,37.38,5,0,42.34,0,58,2022,1,2,6,-4.960000000000001,0.8828530940009447,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0009,166,133,107,93.21,10,0,83.66,0,126,2022,1,2,6,9.549999999999997,1.1141525221133157,False,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0010,122,105,498,129.03,10,1,139.76,0,107,2022,1,2,6,-10.72999999999999,0.9232255294791071,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0011,164,152,264,175.19,10,1,187.65,0,130,2022,1,2,6,-12.460000000000008,0.9335997868371969,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0012,168,168,397,96.27,10,1,109.41,0,187,2022,1,2,6,-13.14,0.8799012887304634,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0013,166,73,90,32.72,10,0,28.94,0,107,2022,1,2,6,3.7799999999999976,1.1306150656530753,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0014,131,81,0,70.94,0,0,66.18,0,75,2022,1,2,6,4.759999999999991,1.0719250528860682,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0015,138,117,109,15.17,10,1,16.81,0,110,2022,1,2,6,-1.6399999999999988,0.9024390243902439,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0016,25,25,0,35.58,0,0,30.98,0,59,2022,1,2,6,4.599999999999998,1.1484828921885086,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0017,69,33,50,17.76,10,0,16.08,0,42,2022,1,2,6,1.6800000000000033,1.1044776119402988,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0018,203,172,155,66.33,10,0,56.8,0,144,2022,1,2,6,9.530000000000001,1.167781690140845,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0019,220,35,0,93.29,10,0,99.51,0,52,2022,1,2,6,-6.219999999999999,0.9374937192241986,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S001,P0020,230,93,432,119.87,10,0,111.8,0,92,2022,1,2,6,8.070000000000007,1.0721824686940966,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-02,S002,P0001,0,0,350,86.71,10,0,85.0,0,137,2022,1,2,6,1.7099999999999937,1.0201176470588234,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0002,74,61,0,31.7,0,0,36.09,0,82,2022,1,2,6,-4.390000000000004,0.8783596564145192,False,False,False,True,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0003,20,20,0,66.64,10,0,61.22,0,58,2022,1,2,6,5.420000000000002,1.0885331590983338,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0004,49,40,0,36.7,5,0,35.23,0,59,2022,1,2,6,1.470000000000006,1.0417258018734035,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0005,52,52,412,98.83,5,0,94.92,0,115,2022,1,2,6,3.9099999999999966,1.0411925832279814,True,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0006,119,116,137,66.76,10,0,59.62,0,117,2022,1,2,6,7.140000000000008,1.119758470311976,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0007,144,95,0,30.0,0,0,28.44,0,95,2022,1,2,6,1.5599999999999987,1.0548523206751055,False,False,False,True,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0008,99,99,153,29.35,0,0,34.68,0,140,2022,1,2,6,-5.329999999999998,0.8463091118800462,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0009,0,0,263,74.78,0,0,83.48,0,158,2022,1,2,6,-8.700000000000003,0.8957834211787254,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0010,318,179,0,101.56,25,1,98.18,0,234,2022,1,2,6,3.3799999999999955,1.0344265634548788,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0011,157,135,474,91.4,15,1,109.66,0,137,2022,1,2,6,-18.25999999999999,0.833485318256429,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0012,119,75,511,65.63,15,1,56.85,0,115,2022,1,2,6,8.779999999999994,1.1544415127528582,True,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0013,59,45,0,20.47,0,0,22.07,0,75,2022,1,2,6,-1.6000000000000014,0.9275033982782056,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0014,84,84,564,134.04,10,0,124.77,0,135,2022,1,2,6,9.269999999999996,1.0742967059389277,True,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0015,36,36,604,65.22,20,1,71.11,0,152,2022,1,2,6,-5.890000000000001,0.9171705807903249,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0016,0,0,260,107.38,0,0,114.77,0,159,2022,1,2,6,-7.390000000000001,0.9356103511370567,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0017,81,63,323,18.69,10,0,20.42,0,92,2022,1,2,6,-1.7300000000000004,0.915279138099902,False,False,False,True,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0018,143,74,87,26.16,5,0,31.4,0,92,2022,1,2,6,-5.239999999999998,0.8331210191082803,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0019,82,66,439,93.88,0,0,85.41,0,101,2022,1,2,6,8.469999999999999,1.0991687156070717,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S002,P0020,83,77,214,134.4,0,0,124.57,0,70,2022,1,2,6,9.830000000000013,1.0789114554065988,False,True,False,False,False,True,False,False,False,False,False,False,True
2022-01-02,S003,P0001,73,73,0,15.76,5,0,16.81,0,91,2022,1,2,6,-1.049999999999999,0.9375371802498513,False,False,False,True,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0002,234,175,548,63.12,10,0,55.32,0,154,2022,1,2,6,7.799999999999997,1.140997830802603,False,False,True,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0003,127,125,160,109.88,0,0,107.36,0,145,2022,1,2,6,2.519999999999996,1.023472429210134,True,False,False,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0004,81,39,0,19.9,0,0,22.28,0,56,2022,1,2,6,-2.3800000000000026,0.893177737881508,False,False,True,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0005,213,59,0,20.05,10,0,17.73,0,75,2022,1,2,6,2.3200000000000003,1.1308516638465878,False,False,False,True,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0006,121,70,96,40.69,0,0,39.79,0,91,2022,1,2,6,0.8999999999999986,1.0226187484292535,False,False,False,True,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0007,124,124,0,16.3,10,0,19.56,0,132,2022,1,2,6,-3.259999999999998,0.8333333333333334,False,False,True,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0008,236,121,306,132.2,5,0,148.43,0,156,2022,1,2,6,-16.230000000000018,0.8906555278582495,False,False,False,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0009,130,78,86,52.56,10,0,51.15,0,105,2022,1,2,6,1.4100000000000037,1.027565982404692,False,False,True,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0010,224,92,0,32.73,20,1,32.0,0,96,2022,1,2,6,0.7299999999999969,1.0228125,False,False,True,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0011,2,2,386,113.61,25,1,126.49,0,163,2022,1,2,6,-12.879999999999995,0.8981737686773659,True,False,False,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0012,68,62,224,90.21,15,1,106.9,0,95,2022,1,2,6,-16.690000000000012,0.8438727782974742,False,True,False,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0013,0,0,0,69.14,0,0,72.85,0,83,2022,1,2,6,-3.7099999999999937,0.9490734385724091,False,False,True,False,False,False,False,False,False,False,False,False,True
2022-01-02,S003,P0014,244,52,0,84.21,0,0,83.63,0,50,2022,1,2,6,0.5799999999999983,1.0069353102953484,False,False,True,False,False,False,False,False,False,False,False,False,True
